Date,AEP Adjusted,DFSVX Adjusted,DFLVX Adjusted,FSAGX Adjusted,GS1 (rf in percent),GS1 (rf),AEP Annual,DFSVX Annual,DFLVX Annual,FSAGX Annual,AEP Excess,DFSVX Excess,DFLVX Excess,FSAGX Excess,AEP Annual RoR,DFSVX Annual ROR,DFLVX Annual RoR,FSAGX Annual RoR,AEP excess return,DFSVX excess return,DFLVX excess return,FSAGX excess return
01-01-1995,9.232222,1.989308,2.739182,7.7144,7.05,7.05%,,,,,,,,,,,,,,,,
01-02-1995,8.935465,2.059477,2.894485,7.978323,6.7,6.70%,,,,,,,,,,,,,,,,
01-03-1995,8.517897,2.084037,2.926617,9.202764,6.43,6.43%,,,,,,,,,,,,,,,,
01-04-1995,8.786177,2.157715,3.044921,9.168153,6.27,6.27%,,,,,,,,,,,,,,,,
01-05-1995,9.188595,2.21736,3.203623,9.358523,6,6.00%,,,,,,,,,,,,,,,,
01-06-1995,9.59989,2.305071,3.257421,9.488323,5.64,5.64%,,,,,,,,,,,,,,,,
01-07-1995,9.429071,2.429623,3.417111,9.743594,5.59,5.59%,,,,,,,,,,,,,,,,
01-08-1995,9.32659,2.50681,3.517138,9.765227,5.75,5.75%,,,,,,,,,,,,,,,,
01-09-1995,10.114293,2.538385,3.614459,9.760903,5.62,5.62%,,,,,,,,,,,,,,,,
01-10-1995,10.600893,2.413834,3.489421,8.584057,5.59,5.59%,,,,,,,,,,,,,,,,
01-11-1995,10.49662,2.461198,3.617349,9.380157,5.43,5.43%,,,,,,,,,,,,,,,,
01-12-1995,11.441336,2.535784,3.694784,9.579183,5.31,5.31%,,,,,,,,,,,,,,,,
01-01-1996,12.500722,2.53796,3.810657,11.279553,5.09,5.09%,35.40%,27.58%,39.12%,46.21%,28.35%,20.53%,32.07%,39.16%,0.354,0.276,0.391,0.462,0.303,0.225,0.34,0.411
01-02-1996,12.112274,2.593521,3.866206,11.729525,4.94,4.94%,35.55%,25.93%,33.57%,47.02%,28.50%,18.88%,26.52%,39.97%,0.356,0.259,0.336,0.47,0.305,0.208,0.285,0.419
01-03-1996,11.957523,2.665216,3.985639,12.010754,5.34,5.34%,40.38%,27.89%,36.19%,30.51%,33.33%,20.84%,29.14%,23.46%,0.404,0.279,0.362,0.305,0.353,0.228,0.311,0.254
01-04-1996,11.63531,2.803226,4.065934,12.296314,5.54,5.54%,32.43%,29.92%,33.53%,34.12%,25.38%,22.87%,26.48%,27.07%,0.324,0.299,0.335,0.341,0.273,0.248,0.284,0.29
01-05-1996,11.492106,2.91256,4.132817,13.63757,5.64,5.64%,25.07%,31.35%,29.00%,45.72%,18.02%,24.30%,21.95%,38.67%,0.251,0.314,0.29,0.457,0.2,0.263,0.239,0.406
01-06-1996,12.395822,2.85162,3.990692,11.712217,5.81,5.81%,29.12%,23.71%,22.51%,23.44%,22.07%,16.66%,15.46%,16.39%,0.291,0.237,0.225,0.234,0.24,0.186,0.174,0.183
01-07-1996,12.068673,2.674178,3.832521,11.495884,5.85,5.85%,27.99%,10.07%,12.16%,17.98%,20.94%,3.02%,5.11%,10.93%,0.28,0.101,0.122,0.18,0.229,0.05,0.071,0.129
01-08-1996,12.068673,2.796057,3.986604,12.668402,5.67,5.67%,29.40%,11.54%,13.35%,29.73%,22.35%,4.49%,6.30%,22.68%,0.294,0.115,0.133,0.297,0.243,0.064,0.083,0.246
01-09-1996,11.982875,2.889259,4.045439,12.434767,5.83,5.83%,18.47%,13.82%,11.92%,27.39%,11.42%,6.77%,4.87%,20.34%,0.185,0.138,0.119,0.274,0.134,0.087,0.068,0.223
01-10-1996,12.27784,2.910767,4.19625,12.092961,5.55,5.55%,15.82%,20.59%,20.26%,40.88%,8.77%,13.54%,13.21%,33.83%,0.158,0.206,0.203,0.409,0.107,0.155,0.152,0.358
01-11-1996,12.240973,3.048778,4.500204,11.573764,5.42,5.42%,16.62%,23.87%,24.41%,23.39%,9.57%,16.82%,17.36%,16.34%,0.166,0.239,0.244,0.234,0.115,0.188,0.193,0.183
